region,link,by,name,zh-Hans
cn,https://mp.weixin.qq.com/s/UdH0yMKJv0TVOQbIcA2h1A,Cat's Corner Studio,List of some Swing Dance orgs in China,国内摇摆舞组织不完全汇总
cn,https://swingbeijing.com/socialdanceinchina,Swing Beijing,Social Dance in China,摇摆中国通
es,https://spainswingdance.com,,Spain Swing Dance,
hk,https://rhythmstudiohk.com/calendar/,Rhythm Studio,Calendar,
jp,https://sites.google.com/view/swingdanceeventsinjapan/home,Taiga,Swing Dance Events in Japan,
kr,https://www.michellejpswing.com/dancing-in-korea/daily,JP & Michelle,Daily Schedule in Korea,
kr,https://www.michellejpswing.com/dancing-in-korea/weekly,JP & Michelle,Weekly Social Dances in Korea,
kr,https://docs.google.com/spreadsheets/d/1f2y-doDtxlxZwswSB-yWs5n7A01xBccFQLDnFCLnTns,Triplecrown Swing Dance,Weekly Swing Schedule in Korea,
tw,https://stepswing.com/index.php/calendar/taiwan-swing-calendar,Step Swing,Taiwan Swing Calendar,
us,https://www.youshouldbedancing.nyc/dance-parties-1,YSBD,Dance Parties Coming Up in NYC,
us,https://thisweekinswingnyc.com,Eileen O'Donnell,This Week in Swing NYC,
,https://swingingeurope.eu/events,Swing Europe,Swing Europe - Events,
,https://www.swingplanit.com,,Swing Plan-it,
